run_id,target,class,threshold,n_gt,recall
rob_a_y26,ctg_robustness_holdout_bohoddarhat1_eval,truck,0.363,211,0.0616
rob_b_y26,ctg_robustness_holdout_bohoddarhat2_eval,auto_rickshaw,0.363,386,0.6813
rob_b_y26,ctg_robustness_holdout_bohoddarhat2_eval,bicycle,0.363,5,0.0
rob_b_y26,ctg_robustness_holdout_bohoddarhat2_eval,bus,0.363,14,0.2857
rob_b_y26,ctg_robustness_holdout_bohoddarhat2_eval,car,0.363,310,0.5839
rob_b_y26,ctg_robustness_holdout_bohoddarhat2_eval,cart_vehicle,0.363,4,0.0
rob_b_y26,ctg_robustness_holdout_bohoddarhat2_eval,construction_vehicle,0.363,1,0.0
rob_b_y26,ctg_robustness_holdout_bohoddarhat2_eval,motorbike,0.363,129,0.3643
rob_b_y26,ctg_robustness_holdout_bohoddarhat2_eval,person,0.363,857,0.3664
rob_b_y26,ctg_robustness_holdout_bohoddarhat2_eval,priority_vehicle,0.363,6,0.0
rob_b_y26,ctg_robustness_holdout_bohoddarhat2_eval,three_wheeler,0.363,437,0.5904
rob_b_y26,ctg_robustness_holdout_bohoddarhat2_eval,truck,0.363,29,0.3448
