epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,924.818,0.86149,0.4653,0.91947,0.92541,0.94123,0.97522,0.78925,0.77628,0.42129,0.85151,0.00109,0.00109,0.00109
92,935.115,0.83882,0.44834,0.90751,0.92284,0.94279,0.97513,0.79087,0.78135,0.42515,0.85187,0.000991,0.000991,0.000991
93,944.885,0.81772,0.4378,0.89934,0.92916,0.93909,0.97238,0.78259,0.75888,0.41322,0.84766,0.000892,0.000892,0.000892
94,954.754,0.80451,0.42771,0.90138,0.92588,0.93087,0.97205,0.79462,0.75505,0.41104,0.8457,0.000793,0.000793,0.000793
95,964.616,0.79217,0.42577,0.89976,0.93399,0.92826,0.97264,0.79975,0.73684,0.40458,0.84233,0.000694,0.000694,0.000694
96,974.643,0.78481,0.4165,0.8952,0.93413,0.93584,0.97534,0.79998,0.72869,0.40559,0.84025,0.000595,0.000595,0.000595
97,984.458,0.7794,0.41369,0.88937,0.92813,0.93937,0.97583,0.80382,0.73379,0.39866,0.84084,0.000496,0.000496,0.000496
98,994.441,0.76988,0.412,0.89328,0.92532,0.9378,0.97489,0.80798,0.72145,0.39651,0.8403,0.000397,0.000397,0.000397
99,1004.45,0.76067,0.40709,0.88639,0.92767,0.93708,0.97311,0.79403,0.7333,0.39758,0.84124,0.000298,0.000298,0.000298
100,1014.34,0.76845,0.4128,0.8889,0.92947,0.93858,0.97491,0.81017,0.71773,0.39297,0.83791,0.000199,0.000199,0.000199
