epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
80,1006.53,1.35677,0.70299,0.00411,0.93517,0.9076,0.95786,0.72854,1.08572,0.46361,0.00496,0.002179,0.002179,0.002179
81,1018.88,1.32445,0.69868,0.00415,0.9121,0.93203,0.95621,0.72742,1.09355,0.45952,0.00496,0.00208,0.00208,0.00208
82,1031.13,1.32544,0.68652,0.00408,0.94202,0.89029,0.95606,0.71683,1.09725,0.45961,0.00503,0.001981,0.001981,0.001981
83,1043.36,1.31702,0.67699,0.00409,0.94628,0.91627,0.95123,0.70084,1.07341,0.46733,0.00491,0.001882,0.001882,0.001882
84,1055.72,1.34043,0.70371,0.00403,0.94716,0.92017,0.95513,0.70293,1.07916,0.47513,0.00488,0.001783,0.001783,0.001783
85,1068.1,1.33158,0.69989,0.00398,0.94741,0.91488,0.95608,0.71542,1.06548,0.45856,0.00491,0.001684,0.001684,0.001684
86,1080.51,1.30682,0.67828,0.00412,0.93463,0.91712,0.95624,0.70516,1.064,0.46821,0.00485,0.001585,0.001585,0.001585
87,1092.89,1.3326,0.68938,0.0039,0.94475,0.9286,0.95629,0.72127,1.04672,0.46957,0.00473,0.001486,0.001486,0.001486
88,1105.48,1.32894,0.68493,0.0039,0.95198,0.91653,0.95532,0.72126,1.03986,0.45992,0.00467,0.001387,0.001387,0.001387
89,1117.72,1.29789,0.67485,0.00393,0.94194,0.91842,0.95573,0.71915,1.05817,0.45759,0.00471,0.001288,0.001288,0.001288
90,1130.05,1.26674,0.65931,0.00392,0.93639,0.91888,0.95576,0.73413,1.03844,0.45269,0.00469,0.001189,0.001189,0.001189
91,1144.21,1.31304,0.64315,0.00441,0.9403,0.89497,0.95059,0.71021,1.06668,0.49777,0.00485,0.00109,0.00109,0.00109
92,1156.26,1.2893,0.61463,0.00425,0.93556,0.90301,0.94955,0.70515,1.10592,0.49738,0.00512,0.000991,0.000991,0.000991
93,1168.3,1.26132,0.5925,0.00423,0.94036,0.92244,0.95384,0.70985,1.07539,0.48837,0.0049,0.000892,0.000892,0.000892
94,1180.2,1.26369,0.60168,0.00422,0.94574,0.91288,0.95206,0.69963,1.06787,0.48254,0.00486,0.000793,0.000793,0.000793
95,1192.27,1.26832,0.59641,0.0043,0.9269,0.93005,0.95298,0.7049,1.0489,0.48662,0.00479,0.000694,0.000694,0.000694
96,1204.32,1.23588,0.57631,0.0041,0.94743,0.91076,0.95449,0.7179,1.04536,0.4699,0.00473,0.000595,0.000595,0.000595
97,1216.25,1.22984,0.56981,0.00406,0.9493,0.92442,0.95514,0.72011,1.03451,0.47089,0.00462,0.000496,0.000496,0.000496
98,1228.35,1.2478,0.59429,0.00403,0.94537,0.92481,0.95517,0.72021,1.03682,0.4638,0.00462,0.000397,0.000397,0.000397
99,1240.33,1.22535,0.56769,0.00407,0.94204,0.9255,0.9543,0.72295,1.04097,0.46071,0.00461,0.000298,0.000298,0.000298
100,1252.3,1.22426,0.58052,0.00406,0.94566,0.92367,0.95283,0.72254,1.03062,0.46098,0.00459,0.000199,0.000199,0.000199
